Go on.,Poursuis.
Hello!,Salut !
I see.,Je comprends.
I try.,J'essaye.
I won!,J'ai gagné !
Attack!,Attaquez !
Cheers!,Santé !
Got it!,Compris !
I'm 19.,J'ai 19 ans.
I'm OK.,Je vais bien.
We try.,On essaye.
We won.,Nous avons gagné.
Really?,Ah bon ?
Thanks.,Merci !
Go away.,Allez-vous en !
Go home.,Rentrez à la maison.
I drive.,Je conduis.
I smoke.,Je fume.
I snore.,Je ronfle.
I stink.,Je pue.
I tried.,J'ai tenté.
I waved.,J’ai fait signe.
I'll go.,J'irai.
I'm Tom.,Je suis Tom.
I'm fat.,Je suis gras.
Keep it.,Gardez-le !
Kiss me.,Embrasse-moi.
Am I fat?,Suis-je grosse ?
Ask them.,Demande-leur.
Find Tom.,Trouvez Tom.
Fix this.,Réparez ceci.
He tries.,Il essaye.